cond_id,sex,age,body_type,load_kg,suit_force_n,suit_torque_nm,motion,lumbar_peak,lumbar_mean,lumbar_ext_peak,lumbar_ext_mean,lumbar_ext_loaded_peak,lumbar_ext_loaded_mean,lumbar_bio_ext_peak,lumbar_bio_ext_mean,hip_r_peak,hip_r_mean,hip_l_peak,hip_l_mean,knee_r_peak,knee_r_mean,shoulder_r_peak,shoulder_r_mean,shoulder_l_peak,shoulder_l_mean,elbow_r_peak,elbow_r_mean,elbow_l_peak,elbow_l_mean
0,male,young,slim,10,0,0.0,neutral_stoop_down_R_002__A073,192.73948519,86.99099859482995,113.56641078,62.01036690750001,157.02471078,75.82339760567568,157.02471078,75.82339760567568,1395.47992919,572.4237696064625,1700.47729357,1150.7879735259864,899.31193706,338.67270287231287,16.06940356,4.499067136734694,16.63642907,5.48858144632653,4.15956913,1.0295479534693879,4.47666147,1.1273641618367347
1,male,young,slim,10,0,0.0,neutral_stoop_down_R_002__A079,182.17264181,99.74393741474026,0.0,0.0,36.41551224,17.31480684055556,36.41551224,17.31480684055556,5408.89455447,836.7746980737013,1610.73534755,1131.3502019043508,5437.84881886,438.67592957961034,15.1326839,2.1354721625974027,10.89781583,2.319958143831169,3.34209652,1.0090012781168833,4.22404896,0.9054784791558441
2,male,young,slim,10,0,0.0,neutral_stoop_down_R_002__A074,225.62210431,94.10180642111112,44.89211777,15.902802772857141,88.35041777,32.02181401045454,88.35041777,32.02181401045454,6695.15051624,854.7991592710606,1564.93186646,1140.1794188932322,5184.23300864,342.40364734595966,11.37640751,3.2955376807575765,12.51267876,4.048055145151515,2.56958892,0.739281670858586,5.35973696,0.8671986104040404
3,male,young,slim,10,0,0.0,neutral_stoop_down_R_002__A075,165.7547437,99.31638837767957,93.61469879,55.74449117230768,137.07299879,85.5406191432258,137.07299879,85.5406191432258,5589.11252111,749.7512040540331,4302.56716006,1148.8616442738673,5396.04050833,409.75355211386744,8.88547414,2.621607005027624,8.09843924,2.712666981270718,2.67162032,1.0739965124309392,2.91772297,0.9479721851381215
4,male,young,slim,10,0,0.0,neutral_stoop_down_R_002__A076,169.99354187,94.62327182622951,76.83461214,41.52767088969697,120.29291214,77.64768344054055,120.29291214,77.64768344054055,1620.82205396,681.6857186244808,1662.7285884,1111.6582535930602,1032.22060559,377.9854696103826,10.22210875,3.6989983901092898,16.43473087,3.296711352513661,3.42145534,1.1543286648633881,5.65341703,1.2263581912568304
5,male,young,slim,10,0,0.0,neutral_stoop_down_R_001__A077,194.71884657,88.16113031154471,101.7495074,53.382784737391304,145.2078074,78.24869304233333,145.2078074,78.24869304233333,2098.63377212,693.9768512559757,4138.23654646,1275.54504804626,1658.74604473,403.1545850322765,32.22302583,3.846528065609756,18.84334048,4.496720032845528,13.12426792,1.6145925856504064,5.12655802,1.104323006178862
6,male,young,slim,10,0,0.0,neutral_stoop_down_R_001__A078,174.00408465,85.08349838260001,41.10709587,24.660321643888892,84.56539587,44.53976201682927,84.56539587,44.53976201682927,1633.84649601,529.6352559249,3660.40573814,1204.6497592685,1140.06236365,345.92088576446673,7.21702286,1.5160955056333336,7.75638563,1.6943083512,3.46154656,1.0964890231333333,2.63051681,0.7912428831
7,male,young,slim,10,0,0.0,neutral_stoop_down_R_001__A080,218.95330128,106.85276158763358,47.22612465,24.740162431999998,90.68442465000001,55.10225788694444,90.68442465000001,55.10225788694444,1043.89777173,455.0027821032824,3798.43870042,1128.0107419690457,729.99050878,307.1282434042748,11.10459699,4.0106998243511445,19.50302419,4.615602987175572,2.62900543,0.7007417377099237,5.5963835,1.0170414247709925
8,male,young,slim,10,0,0.0,neutral_stoop_down_R_001__A081,181.95148236,98.71015471378882,43.62713122,29.43517442142857,87.08543122,34.659212135833336,87.08543122,34.659212135833336,1674.82911585,881.5536925680743,1573.91871769,1146.990272930994,1120.33019104,461.7447554640994,8.33038834,2.3525760955279504,6.4784332,2.507840856397516,2.40253285,0.8184720055900621,3.06047188,0.9256769360248448
9,male,young,slim,10,0,0.0,neutral_stoop_down_R_002__A082,243.68988576,105.54350177475409,17.30298912,9.72668513875,60.76128912,36.16634048545455,60.76128912,36.16634048545455,5516.52489039,755.3699034032242,4270.64838834,1242.7809677273224,5434.03101654,395.2157787673771,8.75281345,2.5128273369945355,18.20015335,4.539092963606557,3.56536287,0.7000177795628416,4.74156775,0.8406962153005465
